lexemeCurrentNode: b5b567              , lineno: 8 , token: TK_ID               ,valueIfNumber:      , parentNodeSymbol: <var>               , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: b5b567              , lineno: 8 , token: TK_ID               ,valueIfNumber:      , parentNodeSymbol: <var>               , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <booleanExpression> , isLeafNode: no  , NodeSymbol: <var>
lexemeCurrentNode: <=                  , lineno: 8 , token: TK_LE               ,valueIfNumber:      , parentNodeSymbol: <relationalOp>      , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: <=                  , lineno: 8 , token: TK_LE               ,valueIfNumber:      , parentNodeSymbol: <relationalOp>      , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <booleanExpression> , isLeafNode: no  , NodeSymbol: <relationalOp>
lexemeCurrentNode: 7                   , lineno: 8 , token: TK_NUM              ,valueIfNumber: 7    , parentNodeSymbol: <var>               , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: 7                   , lineno: 8 , token: TK_NUM              ,valueIfNumber: 7    , parentNodeSymbol: <var>               , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <booleanExpression> , isLeafNode: no  , NodeSymbol: <var>
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <iterativeStmt>     , isLeafNode: no  , NodeSymbol: <booleanExpression>
lexemeCurrentNode: )                   , lineno: 8 , token: TK_CL               ,valueIfNumber:      , parentNodeSymbol: <iterativeStmt>     , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: )                   , lineno: 8 , token: TK_CL               ,valueIfNumber:      , parentNodeSymbol: <iterativeStmt>     , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: read                , lineno: 9 , token: TK_READ             ,valueIfNumber:      , parentNodeSymbol: <ioStmt>            , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: read                , lineno: 9 , token: TK_READ             ,valueIfNumber:      , parentNodeSymbol: <ioStmt>            , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: (                   , lineno: 9 , token: TK_OP               ,valueIfNumber:      , parentNodeSymbol: <ioStmt>            , isLeafNode: yes , NodeSymbol: 
